condition,condition_label,pair_factors,epoch,training_seed,task,task_label,capture_B,mean_abs_offdiag_cosine,source_json,source_sha256
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",0,29,posY,y-position,0.9937196969985962,0.0006161133642308414,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_0_all_shared.json,127f75450662e8294029461bc88487b9815a73990794ab6c70a8797d8937b571
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",10,29,scale,size,0.9978832602500916,0.00010458628821652383,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_10_all_shared.json,7317da6166ba79838177f91f2502a9c8341f173e78a875bb669b9ae95fa0bf59
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",10,29,posX,x-position,0.9988928437232971,0.00010458628821652383,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_10_all_shared.json,7317da6166ba79838177f91f2502a9c8341f173e78a875bb669b9ae95fa0bf59
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",10,29,posY,y-position,0.9986451864242554,0.00010458628821652383,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_10_all_shared.json,7317da6166ba79838177f91f2502a9c8341f173e78a875bb669b9ae95fa0bf59
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",40,29,scale,size,0.9992080330848694,0.0001804033963708207,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_40_all_shared.json,4c43bf5e0757fc0b8d307fa25fd246c0ebecea81c81193568ed95fd9a93ca66a
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",40,29,posX,x-position,0.999130368232727,0.0001804033963708207,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_40_all_shared.json,4c43bf5e0757fc0b8d307fa25fd246c0ebecea81c81193568ed95fd9a93ca66a
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",40,29,posY,y-position,0.9984951019287109,0.0001804033963708207,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_40_all_shared.json,4c43bf5e0757fc0b8d307fa25fd246c0ebecea81c81193568ed95fd9a93ca66a
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",80,29,scale,size,0.9996532797813416,0.0002268950192956254,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_80_all_shared.json,535b1f5f3442f081872525977528d145ab67f4e679f2fab279d6af68b9cd7e38
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",80,29,posX,x-position,0.9994266033172607,0.0002268950192956254,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_80_all_shared.json,535b1f5f3442f081872525977528d145ab67f4e679f2fab279d6af68b9cd7e38
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",80,29,posY,y-position,0.9991723895072937,0.0002268950192956254,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_80_all_shared.json,535b1f5f3442f081872525977528d145ab67f4e679f2fab279d6af68b9cd7e38
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",0,6,scale,size,0.9329874515533447,0.0008858442306518555,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_0_all_shared.json,c28a5a5baee68062a4c7ed61a7e1aa97e5dfa84dab8978eca7d4805cd7f48676
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",0,6,posX,x-position,0.9945117831230164,0.0008858442306518555,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_0_all_shared.json,c28a5a5baee68062a4c7ed61a7e1aa97e5dfa84dab8978eca7d4805cd7f48676
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",0,6,posY,y-position,0.9949377775192261,0.0008858442306518555,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_0_all_shared.json,c28a5a5baee68062a4c7ed61a7e1aa97e5dfa84dab8978eca7d4805cd7f48676
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",10,6,scale,size,0.9982346296310425,9.723504626890644e-05,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_10_all_shared.json,aaf1989514a628adf9f9ca066aeec53f126af65e407a753aa5c63d144205ce15
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",10,6,posX,x-position,0.9986411333084106,9.723504626890644e-05,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_10_all_shared.json,aaf1989514a628adf9f9ca066aeec53f126af65e407a753aa5c63d144205ce15
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",10,6,posY,y-position,0.9986966848373413,9.723504626890644e-05,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_10_all_shared.json,aaf1989514a628adf9f9ca066aeec53f126af65e407a753aa5c63d144205ce15
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",40,6,scale,size,0.9991587996482849,0.0001485745160607621,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_40_all_shared.json,bdf104a8cc9a547b936ef892ed02daabd54c00f15e4f7756ff476a65f5e39089
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",40,6,posX,x-position,0.9989938735961914,0.0001485745160607621,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_40_all_shared.json,bdf104a8cc9a547b936ef892ed02daabd54c00f15e4f7756ff476a65f5e39089
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",40,6,posY,y-position,0.9990893602371216,0.0001485745160607621,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_40_all_shared.json,bdf104a8cc9a547b936ef892ed02daabd54c00f15e4f7756ff476a65f5e39089
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",80,6,scale,size,0.999866247177124,7.005532825132832e-05,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_6/metrics/hyperrect_vicreg_dsprites_epoch_80_all_shared.json,211fae2c3d7cadd5c60e0119539da199c3cc6254a176c95069aa8e8562713559
