varied_task,varied_task_label,training_seed,targeted_capture_loss,mean_other_task_capture_loss,selective_capture_loss,final_epoch
scale,size,6,0.9998126626742305,-0.0003452897071838379,1.0001579523814144,80
scale,size,17,0.9998091136258154,-0.00020176172256469727,1.00001087534838,80
scale,size,29,0.999386312731076,-0.0005767941474914551,0.9999631068785675,80
posX,x-position,6,0.9996650383727683,-0.00023066997528076172,0.9998957083480491,80
posX,x-position,17,0.9994768161704997,2.6047229766845703e-05,0.9994507689407328,80
posX,x-position,29,0.9993982920841518,-0.00046119093894958496,0.9998594830231013,80
posY,y-position,6,0.9991706807631999,5.996227264404297e-05,0.9991107184905559,80
posY,y-position,17,0.9998734058499394,-0.00024130940437316895,1.0001147152543126,80
posY,y-position,29,0.999146641455809,-0.000383526086807251,0.9995301675426163,80
