test_balance_seed,samples_per_cell,total_balanced_samples,triple_max_abs_cos,capture_B_Black_Hair,capture_B_Smiling,capture_B_Arched_Eyebrows,min_capture_B,centroid_rmse,normalized_centroid_rmse,max_centroid_error,min_cell_count,headline_criteria_passed
7,648,5184,0.07623253762722015,0.2973281443119049,0.1030748039484024,0.12881699204444885,0.1030748039484024,0.1810464291867989,0.23728597668974113,0.21699020817016962,648,True
8,648,5184,0.08496171981096268,0.3212740123271942,0.11582677811384201,0.12045105546712875,0.11582677811384201,0.17988086960779368,0.23575835228788686,0.24222648310820183,648,True
9,648,5184,0.05355950444936752,0.3120802938938141,0.11668277531862259,0.12653441727161407,0.11668277531862259,0.18461209475852425,0.24195926652780178,0.24238615142153044,648,True
10,648,5184,0.16451086103916168,0.30143994092941284,0.11033135652542114,0.13248689472675323,0.11033135652542114,0.17269049692534094,0.2263343906423432,0.22860773850032484,648,False
11,648,5184,0.12549878656864166,0.30102503299713135,0.11944980919361115,0.13403092324733734,0.11944980919361115,0.19200183495146073,0.2516445264196452,0.2931710460505154,648,False
12,648,5184,0.15627828240394592,0.29399463534355164,0.11692432314157486,0.1333371251821518,0.11692432314157486,0.17471675148350235,0.2289900729113334,0.23379122994320511,648,False
13,648,5184,0.11871420592069626,0.32546666264533997,0.10689051449298859,0.1326393485069275,0.10689051449298859,0.19627151677094037,0.2572405253313074,0.24729291444036344,648,False
14,648,5184,0.08172665536403656,0.2915208041667938,0.10266532003879547,0.15446257591247559,0.10266532003879547,0.18381432328335742,0.24091367847334277,0.27058059491397274,648,True
15,648,5184,0.22388188540935516,0.30926045775413513,0.0993807390332222,0.13630183041095734,0.0993807390332222,0.1863820864458418,0.24427908144016625,0.2285127657612724,648,False
16,648,5184,0.08733667433261871,0.297130823135376,0.10769536346197128,0.1282213181257248,0.10769536346197128,0.1916417310082903,0.25117256121022996,0.262914430534324,648,False
17,648,5184,0.14877985417842865,0.3154710829257965,0.11376447975635529,0.14863939583301544,0.11376447975635529,0.17259154836051674,0.22620470508625784,0.2665224874736336,648,True
18,648,5184,0.10324514657258987,0.3022172152996063,0.12085946649312973,0.150942862033844,0.12085946649312973,0.18846455309582147,0.24700843730310015,0.276580118995449,648,True
19,648,5184,0.14794780313968658,0.2851570248603821,0.11817649006843567,0.14451487362384796,0.11817649006843567,0.1814608150969777,0.2378290858019446,0.25078571795807875,648,True
20,648,5184,0.2054048329591751,0.2970472276210785,0.09055574983358383,0.14435157179832458,0.09055574983358383,0.1969327319136833,0.2581071377337311,0.26599045540764155,648,False
21,648,5184,0.11661120504140854,0.30355557799339294,0.1250537484884262,0.128502756357193,0.1250537484884262,0.1800481768567293,0.23597763119965154,0.24668650292268507,648,True
22,648,5184,0.10839837044477463,0.285296767950058,0.11391764879226685,0.11827793717384338,0.11391764879226685,0.17524995364127532,0.22968890688087662,0.2509011200284363,648,True
23,648,5184,0.08402726799249649,0.306285560131073,0.11010805517435074,0.13887910544872284,0.11010805517435074,0.18837550557509433,0.24689172841233414,0.2484141634402357,648,True
24,648,5184,0.1186113953590393,0.3019079566001892,0.10516006499528885,0.1466415822505951,0.10516006499528885,0.18385091994013086,0.24096164337099402,0.23947004992139084,648,True
25,648,5184,0.1652809977531433,0.2962382435798645,0.11415576934814453,0.1384412944316864,0.11415576934814453,0.1896164430612153,0.2485181458165753,0.25342219727485465,648,False
26,648,5184,0.07276879251003265,0.29307636618614197,0.1125025823712349,0.11979575455188751,0.1125025823712349,0.17784268110188806,0.2330870289567726,0.22668325207360515,648,True
