test_balance_seed,samples_per_cell,total_balanced_samples,triple_max_abs_cos,capture_B_primary_color=black,capture_B_primary_color=white,capture_B_breast_pattern=solid,min_capture_B,centroid_rmse,normalized_centroid_rmse,max_centroid_error,min_cell_count,headline_criteria_passed
7,100,800,0.03712429851293564,0.5893563628196716,0.5805130004882812,0.4434993267059326,0.4434993267059326,0.6732698115187229,0.5161614840367693,0.8347043114343405,100,False
8,100,800,0.1473047435283661,0.2771528363227844,0.6746839284896851,0.43405866622924805,0.2771528363227844,0.6758038090185408,0.5181041701451825,0.8562605297401411,100,False
9,100,800,0.38138335943222046,0.758466362953186,0.45015260577201843,0.5859267711639404,0.45015260577201843,0.7187470824839223,0.5510265786388712,0.8605442128560831,100,False
10,100,800,0.4680502712726593,0.4802173674106598,0.6078216433525085,0.1811290830373764,0.1811290830373764,0.6540362276861653,0.5014160803300972,0.7807440141092646,100,False
11,100,800,0.3464001715183258,0.2425459772348404,0.47122064232826233,0.38239729404449463,0.2425459772348404,0.7128396755141936,0.5464976722537384,0.8758837436421077,100,False
12,100,800,0.7229371070861816,0.505859911441803,0.5857487916946411,0.12900882959365845,0.12900882959365845,0.6956574607312309,0.5333249481397508,0.8472939700676844,100,False
13,100,800,0.26821890473365784,0.4174347519874573,0.36701586842536926,0.4812922477722168,0.36701586842536926,0.6834857357480768,0.5239935099509208,0.9067871159885055,100,False
14,100,800,0.33338993787765503,0.5680540800094604,0.5019859075546265,0.2527821362018585,0.2527821362018585,0.696120545250745,0.5336799713247168,0.877725853139413,100,False
15,100,800,0.2339349240064621,0.4788355827331543,0.5457885265350342,0.32756397128105164,0.32756397128105164,0.683188477368641,0.5237656171750277,0.8132370033343305,100,False
16,100,800,0.18486040830612183,0.3385016620159149,0.8209635615348816,0.2831713855266571,0.2831713855266571,0.6547470996125463,0.5019610694298657,0.8585926984602859,100,False
17,100,800,0.3755674958229065,0.5557966828346252,0.560364305973053,0.22142522037029266,0.22142522037029266,0.6304919358114448,0.48336587753363247,0.7498251324417183,100,False
18,100,800,0.40821573138237,0.4845920205116272,0.7746905088424683,0.3860614001750946,0.3860614001750946,0.6454794451250219,0.49485603336263134,0.7825601552412975,100,False
19,100,800,0.2365456074476242,0.29650065302848816,0.5533973574638367,0.2719813883304596,0.2719813883304596,0.6755677256008515,0.5179231770794812,0.9548707187413922,100,False
20,100,800,0.3136685788631439,0.2964608371257782,0.6430030465126038,0.31193023920059204,0.2964608371257782,0.6847695014468587,0.5249777073661354,0.8297805896902481,100,False
21,100,800,0.4278237819671631,0.5874870419502258,0.32540372014045715,0.49668070673942566,0.32540372014045715,0.668104137984347,0.5122012266898099,0.8073373800385105,100,False
22,100,800,0.07870905846357346,0.7434363961219788,0.33510342240333557,0.46450263261795044,0.33510342240333557,0.6748587981187618,0.5173796786855691,0.8336521838607472,100,False
23,100,800,0.2845194339752197,0.6144976019859314,0.4488071799278259,0.36783531308174133,0.36783531308174133,0.6545460061939181,0.5018069014044867,0.801841380149631,100,False
24,100,800,0.40254002809524536,0.44939056038856506,0.40946173667907715,0.6123877167701721,0.40946173667907715,0.6695631405575292,0.5133197692421463,0.8322023556063547,100,False
25,100,800,0.517058253288269,0.48177069425582886,0.677422046661377,0.29634538292884827,0.29634538292884827,0.6513373019151489,0.49934695216269814,0.8373792357061112,100,False
26,100,800,0.18122899532318115,0.5600330233573914,0.6238319277763367,0.49073129892349243,0.49073129892349243,0.6476656189831208,0.4965320608981796,0.734124885625727,100,False
