model,n_unordered_attribute_pairs,mean_abs_cos,median_abs_cos,q90_abs_cos,fraction_at_most_0_1,fraction_at_most_0_2,fraction_at_most_0_3,maximum_abs_cos
VICReg (CelebA),735,0.2518080649382893,0.2100638747215271,0.5408053398132324,0.25578231292517006,0.48435374149659866,0.6707482993197279,0.901288628578186
I-JEPA (CelebA),735,0.22061922722725755,0.18109706044197083,0.46872504353523264,0.3006802721088435,0.5346938775510204,0.7197278911564626,0.8065938353538513
VICReg (ImageNet),735,0.12449638935634409,0.09553876146674156,0.2738609075546266,0.5156462585034014,0.819047619047619,0.9292517006802721,0.619905486702919
Supervised (ImageNet),735,0.11920644708641419,0.08900266513228416,0.27119330167770384,0.5551020408163265,0.817687074829932,0.926530612244898,0.5274495631456375
