method,epoch,tag,attr_i,attr_j,cosine,abs_cosine
ijepa,1000,twoview,Arched_Eyebrows,Gray_Hair,-0.6192284226417542,0.6192284226417542
ijepa,1000,twoview,Arched_Eyebrows,Heavy_Makeup,0.9128808975219727,0.9128808975219727
ijepa,1000,twoview,Arched_Eyebrows,High_Cheekbones,0.4176068902015686,0.4176068902015686
ijepa,1000,twoview,Arched_Eyebrows,Male,-0.8438602089881897,0.8438602089881897
ijepa,1000,twoview,Arched_Eyebrows,Mouth_Slightly_Open,0.12903624773025513,0.12903624773025513
ijepa,1000,twoview,Arched_Eyebrows,Mustache,-0.5570515394210815,0.5570515394210815
ijepa,1000,twoview,Arched_Eyebrows,Narrow_Eyes,-0.03719005361199379,0.03719005361199379
ijepa,1000,twoview,Arched_Eyebrows,No_Beard,0.7097065448760986,0.7097065448760986
ijepa,1000,twoview,Arched_Eyebrows,Oval_Face,0.18751464784145355,0.18751464784145355
ijepa,1000,twoview,Arched_Eyebrows,Pale_Skin,0.05378776043653488,0.05378776043653488
ijepa,1000,twoview,Arched_Eyebrows,Pointy_Nose,0.7556094527244568,0.7556094527244568
ijepa,1000,twoview,Arched_Eyebrows,Receding_Hairline,-0.5765040516853333,0.5765040516853333
ijepa,1000,twoview,Arched_Eyebrows,Rosy_Cheeks,0.5885204076766968,0.5885204076766968
ijepa,1000,twoview,Arched_Eyebrows,Sideburns,-0.5637623071670532,0.5637623071670532
ijepa,1000,twoview,Arched_Eyebrows,Smiling,0.28720709681510925,0.28720709681510925
ijepa,1000,twoview,Arched_Eyebrows,Straight_Hair,-0.26975688338279724,0.26975688338279724
ijepa,1000,twoview,Arched_Eyebrows,Wavy_Hair,0.7837106585502625,0.7837106585502625
ijepa,1000,twoview,Arched_Eyebrows,Wearing_Earrings,0.7707700133323669,0.7707700133323669
ijepa,1000,twoview,Arched_Eyebrows,Wearing_Hat,-0.5301693081855774,0.5301693081855774
ijepa,1000,twoview,Arched_Eyebrows,Wearing_Lipstick,0.9196174740791321,0.9196174740791321
ijepa,1000,twoview,Arched_Eyebrows,Wearing_Necklace,0.8256266117095947,0.8256266117095947
ijepa,1000,twoview,Arched_Eyebrows,Wearing_Necktie,-0.6202430725097656,0.6202430725097656
ijepa,1000,twoview,Arched_Eyebrows,Young,0.6597307920455933,0.6597307920455933
ijepa,1000,twoview,Attractive,Bags_Under_Eyes,-0.5148390531539917,0.5148390531539917
ijepa,1000,twoview,Attractive,Bald,-0.6524345278739929,0.6524345278739929
ijepa,1000,twoview,Attractive,Bangs,0.6427714824676514,0.6427714824676514
ijepa,1000,twoview,Attractive,Big_Lips,0.44302114844322205,0.44302114844322205
ijepa,1000,twoview,Attractive,Big_Nose,-0.5617285966873169,0.5617285966873169
ijepa,1000,twoview,Attractive,Black_Hair,-0.16140048205852509,0.16140048205852509
ijepa,1000,twoview,Attractive,Blond_Hair,0.3754945695400238,0.3754945695400238
ijepa,1000,twoview,Attractive,Blurry,-0.39827531576156616,0.39827531576156616
