method,epoch,tag,attribute,n_pos,n_neg,pos_frac,gap,directional_cdnv,cdnv,capture_B,sqrt_capture_B,usable
ijepa,1000,twoview,5_o_Clock_Shadow,18177,144593,0.11167291269890028,1.0177241563796997,2.4607858657836914,598.2346801757812,0.7225011587142944,0.8500006815963705,True
ijepa,1000,twoview,Arched_Eyebrows,43278,119492,0.2658843767278983,0.7781257629394531,3.901475667953491,1039.480712890625,0.4035770297050476,0.6352771282716289,True
ijepa,1000,twoview,Attractive,83603,79167,0.5136265896664004,0.9605085253715515,2.3341565132141113,691.5598754882812,0.22814898192882538,0.47764943413430877,True
ijepa,1000,twoview,Bags_Under_Eyes,33280,129490,0.20446028137863242,0.7054120302200317,5.054923057556152,1255.6182861328125,0.4251430034637451,0.6520299099456597,True
ijepa,1000,twoview,Bald,3713,159057,0.022811328868956197,1.2327028512954712,1.706902027130127,425.8309020996094,1.1471281051635742,1.0710406645704795,True
ijepa,1000,twoview,Bangs,24685,138085,0.15165571051176507,0.5404041409492493,6.673755168914795,2148.536376953125,0.6756163835525513,0.8219588697450446,True
ijepa,1000,twoview,Big_Lips,39213,123557,0.24091048719051422,0.5859804153442383,7.280378341674805,1852.9490966796875,0.3849184513092041,0.6204179650116558,True
ijepa,1000,twoview,Big_Nose,38341,124429,0.23555323462554525,0.8590424060821533,3.3505260944366455,847.656494140625,0.34973272681236267,0.5913820480978119,True
ijepa,1000,twoview,Black_Hair,38906,123864,0.23902439024390243,0.9916174411773682,1.6481139659881592,646.1669311523438,0.4750986099243164,0.6892739730501337,True
ijepa,1000,twoview,Blond_Hair,24267,138503,0.149087669718007,1.6465953588485718,0.6738486886024475,230.3406219482422,0.861316442489624,0.9280713563566242,True
ijepa,1000,twoview,Blurry,8362,154408,0.05137310315168643,2.659693717956543,0.6415467858314514,106.43743896484375,1.157835841178894,1.076027806879959,True
ijepa,1000,twoview,Brown_Hair,33192,129578,0.20391964121152548,0.8241117596626282,3.0404858589172363,928.5760498046875,0.5290791392326355,0.7273782642013957,True
ijepa,1000,twoview,Bushy_Eyebrows,23386,139384,0.1436751244086748,0.8221578001976013,4.0755510330200195,928.792724609375,0.6207353472709656,0.7878675950126173,True
ijepa,1000,twoview,Chubby,9389,153381,0.05768261964735517,1.0461019277572632,2.362457036972046,574.4320068359375,0.9684211015701294,0.9840838894983137,True
ijepa,1000,twoview,Double_Chin,7571,155199,0.04651348528598636,1.0983539819717407,2.0826966762542725,508.0333557128906,1.0284465551376343,1.0141235403724904,True
ijepa,1000,twoview,Eyeglasses,10521,152249,0.0646372181605947,0.7882899045944214,3.648264169692993,1026.48046875,0.934867262840271,0.9668853411032101,True
ijepa,1000,twoview,Goatee,10337,152433,0.06350678872028015,0.9627014994621277,2.8768255710601807,684.6285400390625,0.931342601776123,0.9650609316390976,True
ijepa,1000,twoview,Gray_Hair,6896,155874,0.04236652945874547,1.1671757698059082,1.6242804527282715,454.93756103515625,1.054936170578003,1.0271008570622473,True
ijepa,1000,twoview,Heavy_Makeup,62555,100215,0.38431529151563554,1.1161679029464722,1.5292282104492188,506.4658203125,0.39453813433647156,0.6281227064328049,True
ijepa,1000,twoview,High_Cheekbones,73645,89125,0.45244823984763777,0.6512022018432617,4.615687370300293,1493.8612060546875,0.12758879363536835,0.3571957357463389,True
ijepa,1000,twoview,Male,68261,94509,0.4193708914419119,1.197398066520691,1.2181419134140015,444.83990478515625,0.32595545053482056,0.5709250831193359,True
ijepa,1000,twoview,Mouth_Slightly_Open,78486,84284,0.4821895926767832,0.4240981638431549,12.117417335510254,3541.655029296875,0.04879511520266533,0.22089616384778013,True
ijepa,1000,twoview,Mustache,6642,156128,0.040806045340050376,0.9302710294723511,2.9235727787017822,732.0253295898438,1.0462232828140259,1.022850567196414,True
ijepa,1000,twoview,Narrow_Eyes,18869,143901,0.11592431037660503,0.3832138180732727,20.153242111206055,4359.98681640625,0.7861647605895996,0.8866593261166318,True
ijepa,1000,twoview,No_Beard,135779,26991,0.8341770596547275,0.9585953950881958,2.573944330215454,692.0672607421875,0.5388447046279907,0.7340604230088902,True
ijepa,1000,twoview,Oval_Face,46101,116669,0.28322786754315904,0.6468411087989807,5.802206039428711,1495.339111328125,0.3094388246536255,0.5562722576703115,True
ijepa,1000,twoview,Pale_Skin,7005,155765,0.04303618602936659,1.772881269454956,0.9478755593299866,209.16392517089844,1.0900498628616333,1.0440545305977238,True
ijepa,1000,twoview,Pointy_Nose,44846,117924,0.2755176015236223,0.5824853181838989,6.7438812255859375,1863.6304931640625,0.34995827078819275,0.5915727096377864,True
ijepa,1000,twoview,Receding_Hairline,13040,149730,0.08011304294403146,0.7186684608459473,4.668586254119873,1228.108642578125,0.877176821231842,0.9365771838091306,True
ijepa,1000,twoview,Rosy_Cheeks,10525,152245,0.06466179271364501,1.476721167564392,1.214569091796875,267.2406311035156,1.0313879251480103,1.0155727079574413,True
ijepa,1000,twoview,Sideburns,9156,153614,0.05625115193217423,0.9420135617256165,3.007988929748535,707.2315063476562,0.9689575433731079,0.9843564107441511,True
ijepa,1000,twoview,Smiling,78080,84690,0.47969527554217606,0.6520958542823792,4.53856086730957,1494.9901123046875,0.11272763460874557,0.33574936278233736,True
ijepa,1000,twoview,Straight_Hair,33947,128823,0.2085580880997727,0.4689268171787262,11.15728759765625,2894.129638671875,0.4469969570636749,0.6685783103449251,True
