method,attribute,tag,epoch,k_cap,r,B,m,empirical_nccc,new_thm45_B,old_thm41_dir,luthra2025,lim
ijepa,Male,twoview,1000,adaptive,8,0.07671336829662323,1,0.4905270001851022,1.0,2392.752543725449,321.2219491658484,11.093448162078857
ijepa,Male,twoview,1000,adaptive,8,0.07671336829662323,2,0.47823999958112834,1.0,16958.44454388199,171.70442274500306,11.093448162078857
ijepa,Male,twoview,1000,adaptive,8,0.07671336829662323,5,0.4632859983295202,1.0,8204.46641782898,81.99390689249586,11.093448162078857
ijepa,Male,twoview,1000,adaptive,8,0.07671336829662323,10,0.45000100158154965,1.0,1502.2540890781597,52.090401608326786,11.093448162078857
ijepa,Male,twoview,1000,adaptive,8,0.07671336829662323,20,0.4330810003727674,1.0,565.0641353069061,37.13864896624224,11.093448162078857
ijepa,Male,twoview,1000,adaptive,8,0.07671336829662323,50,0.41413999915122984,1.0,202.06223844129596,28.167597380991527,11.093448162078857
ijepa,Male,twoview,1000,adaptive,8,0.07671336829662323,100,0.40023399993777276,1.0,101.23655395731699,25.177246852574623,11.093448162078857
ijepa,Male,twoview,1000,adaptive,16,0.1216953694820404,1,0.49064199917716905,1.0,1496.112811065975,401.6070636567257,6.9217071533203125
ijepa,Male,twoview,1000,adaptive,16,0.1216953694820404,2,0.47897200111299754,1.0,4807.555489840459,207.72523898168316,6.9217071533203125
ijepa,Male,twoview,1000,adaptive,16,0.1216953694820404,5,0.4611810000985861,1.0,183422.84952871792,91.39614417665766,6.9217071533203125
ijepa,Male,twoview,1000,adaptive,16,0.1216953694820404,10,0.4420619997382164,1.0,3585.9869391204315,52.61977924164914,6.9217071533203125
ijepa,Male,twoview,1000,adaptive,16,0.1216953694820404,20,0.4229760006815195,1.0,1018.26528229416,33.23159677414488,6.9217071533203125
ijepa,Male,twoview,1000,adaptive,16,0.1216953694820404,50,0.39754700027406215,1.0,331.33861752466765,21.598687293642328,6.9217071533203125
ijepa,Male,twoview,1000,adaptive,16,0.1216953694820404,100,0.3784319992363453,1.0,158.45746826829992,17.721050800141477,6.9217071533203125
ijepa,Male,twoview,1000,adaptive,32,0.1713283807039261,1,0.4918230010487605,1.0,2156.041624589803,540.4935451658636,4.658881783485413
ijepa,Male,twoview,1000,adaptive,32,0.1713283807039261,2,0.4778940005833283,1.0,6244.358479410092,274.9056543664172,4.658881783485413
ijepa,Male,twoview,1000,adaptive,32,0.1713283807039261,5,0.4616940005822107,1.0,7837875701.741117,115.55291988674938,4.658881783485413
ijepa,Male,twoview,1000,adaptive,32,0.1713283807039261,10,0.4403489998728037,1.0,7992.370778456896,62.4353417268601,4.658881783485413
ijepa,Male,twoview,1000,adaptive,32,0.1713283807039261,20,0.4194809987396002,1.0,1973.4716798834093,35.876552646915464,4.658881783485413
ijepa,Male,twoview,1000,adaptive,32,0.1713283807039261,50,0.3884330002218485,1.0,615.0913305401715,19.941279198948678,4.658881783485413
ijepa,Male,twoview,1000,adaptive,32,0.1713283807039261,100,0.3661830013990402,1.0,288.3577551871575,14.629521382959753,4.658881783485413
ijepa,Male,twoview,1000,adaptive,64,0.22712069749832153,1,0.49073999883723446,1.0,6559.939481718022,778.7538820729952,3.4709986448287964
ijepa,Male,twoview,1000,adaptive,64,0.22712069749832153,2,0.482013999754563,1.0,22648.66829760886,392.8479396813264,3.4709986448287964
ijepa,Male,twoview,1000,adaptive,64,0.22712069749832153,5,0.4634119996614754,1.0,365386.5746198031,161.30437424632512,3.4709986448287964
ijepa,Male,twoview,1000,adaptive,64,0.22712069749832153,10,0.4413639986887574,1.0,13247.156478086894,84.12318576799136,3.4709986448287964
ijepa,Male,twoview,1000,adaptive,64,0.22712069749832153,20,0.41844999849796294,1.0,3930.937616025797,45.532591528824476,3.4709986448287964
ijepa,Male,twoview,1000,adaptive,64,0.22712069749832153,50,0.38405599929392337,1.0,1277.6424427255083,22.378234985324347,3.4709986448287964
ijepa,Male,twoview,1000,adaptive,64,0.22712069749832153,100,0.3562640003859997,1.0,599.233947131479,14.66011613749097,3.4709986448287964
ijepa,Male,twoview,1000,adaptive,128,0.27263158559799194,1,0.4929220006824471,1.0,19767.691942162895,1338.981404503794,2.741640090942383
ijepa,Male,twoview,1000,adaptive,128,0.27263158559799194,2,0.48746100001502785,1.0,69090.21891098785,672.2323423428394,2.741640090942383
ijepa,Male,twoview,1000,adaptive,128,0.27263158559799194,5,0.47049199989065527,1.0,1021621.6949096228,272.18290504626657,2.741640090942383
ijepa,Male,twoview,1000,adaptive,128,0.27263158559799194,10,0.45108600027859214,1.0,39219.78643373057,138.83309261407567,2.741640090942383
ijepa,Male,twoview,1000,adaptive,128,0.27263158559799194,20,0.4311520007252693,1.0,11686.619976235666,72.15818639798022,2.741640090942383
ijepa,Male,twoview,1000,adaptive,128,0.27263158559799194,50,0.39621400013566016,1.0,3795.129393039275,32.153242668322946,2.741640090942383
ijepa,Male,twoview,1000,adaptive,128,0.27263158559799194,100,0.3652020001411438,1.0,1775.365114233095,18.818261425103856,2.741640090942383
ijepa,Male,twoview,1000,adaptive,256,0.3056619465351105,1,0.49593500048962597,1.0,151857.7724093111,2230.041784234809,2.4848697185516357
ijepa,Male,twoview,1000,adaptive,256,0.3056619465351105,2,0.49078900063796027,1.0,1263096.6871769014,1117.505761835956,2.4848697185516357
ijepa,Male,twoview,1000,adaptive,256,0.3056619465351105,5,0.47534299903549254,1.0,403483.830000425,449.98414839664446,2.4848697185516357
ijepa,Male,twoview,1000,adaptive,256,0.3056619465351105,10,0.4589699990674853,1.0,80078.47528062822,227.47694391687386,2.4848697185516357
