method,epoch,tag,attr_i,attr_j,cosine,abs_cosine
vicreg,1000,twoview,Arched_Eyebrows,Gray_Hair,-0.2496405839920044,0.2496405839920044
vicreg,1000,twoview,Arched_Eyebrows,Heavy_Makeup,0.8460434079170227,0.8460434079170227
vicreg,1000,twoview,Arched_Eyebrows,High_Cheekbones,0.4742734432220459,0.4742734432220459
vicreg,1000,twoview,Arched_Eyebrows,Male,-0.7274744510650635,0.7274744510650635
vicreg,1000,twoview,Arched_Eyebrows,Mouth_Slightly_Open,0.25802552700042725,0.25802552700042725
vicreg,1000,twoview,Arched_Eyebrows,Mustache,-0.42062637209892273,0.42062637209892273
vicreg,1000,twoview,Arched_Eyebrows,Narrow_Eyes,-0.06981830298900604,0.06981830298900604
vicreg,1000,twoview,Arched_Eyebrows,No_Beard,0.5606597065925598,0.5606597065925598
vicreg,1000,twoview,Arched_Eyebrows,Oval_Face,0.5276235938072205,0.5276235938072205
vicreg,1000,twoview,Arched_Eyebrows,Pale_Skin,0.07097219675779343,0.07097219675779343
vicreg,1000,twoview,Arched_Eyebrows,Pointy_Nose,0.6269254684448242,0.6269254684448242
vicreg,1000,twoview,Arched_Eyebrows,Receding_Hairline,-0.10525187849998474,0.10525187849998474
vicreg,1000,twoview,Arched_Eyebrows,Rosy_Cheeks,0.5904646515846252,0.5904646515846252
vicreg,1000,twoview,Arched_Eyebrows,Sideburns,-0.43564656376838684,0.43564656376838684
vicreg,1000,twoview,Arched_Eyebrows,Smiling,0.3793749213218689,0.3793749213218689
vicreg,1000,twoview,Arched_Eyebrows,Straight_Hair,-0.14682260155677795,0.14682260155677795
vicreg,1000,twoview,Arched_Eyebrows,Wavy_Hair,0.6476283073425293,0.6476283073425293
vicreg,1000,twoview,Arched_Eyebrows,Wearing_Earrings,0.6817229390144348,0.6817229390144348
vicreg,1000,twoview,Arched_Eyebrows,Wearing_Hat,-0.28152185678482056,0.28152185678482056
vicreg,1000,twoview,Arched_Eyebrows,Wearing_Lipstick,0.8232361674308777,0.8232361674308777
vicreg,1000,twoview,Arched_Eyebrows,Wearing_Necklace,0.6043051481246948,0.6043051481246948
vicreg,1000,twoview,Arched_Eyebrows,Wearing_Necktie,-0.4015386998653412,0.4015386998653412
vicreg,1000,twoview,Arched_Eyebrows,Young,0.4302503168582916,0.4302503168582916
vicreg,1000,twoview,Attractive,Bags_Under_Eyes,-0.4519677758216858,0.4519677758216858
vicreg,1000,twoview,Attractive,Bald,-0.41782569885253906,0.41782569885253906
vicreg,1000,twoview,Attractive,Bangs,0.08911050111055374,0.08911050111055374
vicreg,1000,twoview,Attractive,Big_Lips,0.4020185172557831,0.4020185172557831
vicreg,1000,twoview,Attractive,Big_Nose,-0.5763557553291321,0.5763557553291321
vicreg,1000,twoview,Attractive,Black_Hair,0.13679726421833038,0.13679726421833038
vicreg,1000,twoview,Attractive,Blond_Hair,0.21191681921482086,0.21191681921482086
vicreg,1000,twoview,Attractive,Blurry,-0.5316546559333801,0.5316546559333801
vicreg,1000,twoview,Attractive,Brown_Hair,0.42486947774887085,0.42486947774887085
vicreg,1000,twoview,Attractive,Bushy_Eyebrows,0.14606739580631256,0.14606739580631256
vicreg,1000,twoview,Attractive,Chubby,-0.5985283851623535,0.5985283851623535
vicreg,1000,twoview,Attractive,Double_Chin,-0.49440595507621765,0.49440595507621765
vicreg,1000,twoview,Attractive,Eyeglasses,-0.40423911809921265,0.40423911809921265
vicreg,1000,twoview,Attractive,Goatee,-0.5651049017906189,0.5651049017906189
vicreg,1000,twoview,Attractive,Gray_Hair,-0.44257038831710815,0.44257038831710815
vicreg,1000,twoview,Attractive,Heavy_Makeup,0.817948579788208,0.817948579788208
vicreg,1000,twoview,Attractive,High_Cheekbones,0.35457155108451843,0.35457155108451843
vicreg,1000,twoview,Attractive,Male,-0.7061804533004761,0.7061804533004761
vicreg,1000,twoview,Attractive,Mouth_Slightly_Open,0.03780436888337135,0.03780436888337135
vicreg,1000,twoview,Attractive,Mustache,-0.5314139723777771,0.5314139723777771
vicreg,1000,twoview,Attractive,Narrow_Eyes,-0.23999720811843872,0.23999720811843872
vicreg,1000,twoview,Attractive,No_Beard,0.6000357866287231,0.6000357866287231
vicreg,1000,twoview,Attractive,Oval_Face,0.46969181299209595,0.46969181299209595
vicreg,1000,twoview,Attractive,Pale_Skin,0.23730576038360596,0.23730576038360596
vicreg,1000,twoview,Attractive,Pointy_Nose,0.6956662535667419,0.6956662535667419
vicreg,1000,twoview,Attractive,Receding_Hairline,-0.38104480504989624,0.38104480504989624
vicreg,1000,twoview,Attractive,Rosy_Cheeks,0.5042670369148254,0.5042670369148254
vicreg,1000,twoview,Attractive,Sideburns,-0.46870049834251404,0.46870049834251404
vicreg,1000,twoview,Attractive,Smiling,0.289969801902771,0.289969801902771
vicreg,1000,twoview,Attractive,Straight_Hair,0.12791430950164795,0.12791430950164795
vicreg,1000,twoview,Attractive,Wavy_Hair,0.6688083410263062,0.6688083410263062
vicreg,1000,twoview,Attractive,Wearing_Earrings,0.5044640898704529,0.5044640898704529
vicreg,1000,twoview,Attractive,Wearing_Hat,-0.32163646817207336,0.32163646817207336
vicreg,1000,twoview,Attractive,Wearing_Lipstick,0.8125283718109131,0.8125283718109131
vicreg,1000,twoview,Attractive,Wearing_Necklace,0.5379129648208618,0.5379129648208618
vicreg,1000,twoview,Attractive,Wearing_Necktie,-0.46138912439346313,0.46138912439346313
vicreg,1000,twoview,Attractive,Young,0.6890288591384888,0.6890288591384888
vicreg,1000,twoview,Bags_Under_Eyes,Bald,0.3846735656261444,0.3846735656261444
vicreg,1000,twoview,Bags_Under_Eyes,Bangs,-0.20431293547153473,0.20431293547153473
vicreg,1000,twoview,Bags_Under_Eyes,Big_Lips,-0.36176979541778564,0.36176979541778564
vicreg,1000,twoview,Bags_Under_Eyes,Big_Nose,0.6709491610527039,0.6709491610527039
vicreg,1000,twoview,Bags_Under_Eyes,Black_Hair,-0.020652102306485176,0.020652102306485176
vicreg,1000,twoview,Bags_Under_Eyes,Blond_Hair,-0.15575720369815826,0.15575720369815826
vicreg,1000,twoview,Bags_Under_Eyes,Blurry,0.0807487815618515,0.0807487815618515
vicreg,1000,twoview,Bags_Under_Eyes,Brown_Hair,-0.17758792638778687,0.17758792638778687
vicreg,1000,twoview,Bags_Under_Eyes,Bushy_Eyebrows,0.18106402456760406,0.18106402456760406
vicreg,1000,twoview,Bags_Under_Eyes,Chubby,0.5267174243927002,0.5267174243927002
vicreg,1000,twoview,Bags_Under_Eyes,Double_Chin,0.49635469913482666,0.49635469913482666
vicreg,1000,twoview,Bags_Under_Eyes,Eyeglasses,-0.06949702650308609,0.06949702650308609
vicreg,1000,twoview,Bags_Under_Eyes,Goatee,0.441658079624176,0.441658079624176
vicreg,1000,twoview,Bags_Under_Eyes,Gray_Hair,0.41054970026016235,0.41054970026016235
vicreg,1000,twoview,Bags_Under_Eyes,Heavy_Makeup,-0.5815703272819519,0.5815703272819519
vicreg,1000,twoview,Bags_Under_Eyes,High_Cheekbones,0.16778700053691864,0.16778700053691864
vicreg,1000,twoview,Bags_Under_Eyes,Male,0.5873531103134155,0.5873531103134155
vicreg,1000,twoview,Bags_Under_Eyes,Mouth_Slightly_Open,0.19842809438705444,0.19842809438705444
vicreg,1000,twoview,Bags_Under_Eyes,Mustache,0.44601160287857056,0.44601160287857056
vicreg,1000,twoview,Bags_Under_Eyes,Narrow_Eyes,0.3969961106777191,0.3969961106777191
vicreg,1000,twoview,Bags_Under_Eyes,No_Beard,-0.5044287443161011,0.5044287443161011
vicreg,1000,twoview,Bags_Under_Eyes,Oval_Face,-0.02900143899023533,0.02900143899023533
vicreg,1000,twoview,Bags_Under_Eyes,Pale_Skin,-0.16839377582073212,0.16839377582073212
vicreg,1000,twoview,Bags_Under_Eyes,Pointy_Nose,-0.553877592086792,0.553877592086792
vicreg,1000,twoview,Bags_Under_Eyes,Receding_Hairline,0.3992103636264801,0.3992103636264801
vicreg,1000,twoview,Bags_Under_Eyes,Rosy_Cheeks,-0.31416165828704834,0.31416165828704834
vicreg,1000,twoview,Bags_Under_Eyes,Sideburns,0.496327668428421,0.496327668428421
vicreg,1000,twoview,Bags_Under_Eyes,Smiling,0.2021382451057434,0.2021382451057434
vicreg,1000,twoview,Bags_Under_Eyes,Straight_Hair,0.15835769474506378,0.15835769474506378
vicreg,1000,twoview,Bags_Under_Eyes,Wavy_Hair,-0.5030872225761414,0.5030872225761414
vicreg,1000,twoview,Bags_Under_Eyes,Wearing_Earrings,-0.2543210983276367,0.2543210983276367
vicreg,1000,twoview,Bags_Under_Eyes,Wearing_Hat,-0.041450757533311844,0.041450757533311844
vicreg,1000,twoview,Bags_Under_Eyes,Wearing_Lipstick,-0.5886342525482178,0.5886342525482178
vicreg,1000,twoview,Bags_Under_Eyes,Wearing_Necklace,-0.42742788791656494,0.42742788791656494
vicreg,1000,twoview,Bags_Under_Eyes,Wearing_Necktie,0.6217367649078369,0.6217367649078369
vicreg,1000,twoview,Bags_Under_Eyes,Young,-0.53151935338974,0.53151935338974
vicreg,1000,twoview,Bald,Bangs,-0.13673177361488342,0.13673177361488342
vicreg,1000,twoview,Bald,Big_Lips,-0.05774250626564026,0.05774250626564026
vicreg,1000,twoview,Bald,Big_Nose,0.5552026629447937,0.5552026629447937
vicreg,1000,twoview,Bald,Black_Hair,-0.23455791175365448,0.23455791175365448
vicreg,1000,twoview,Bald,Blond_Hair,-0.03437430411577225,0.03437430411577225
