model_dataset,selected_triple,primary_samples_per_cell,aggregate_capture_B,aggregate_min_capture_B,aggregate_max_abs_cos,primary_normalized_centroid_rmse,corner_stability_status,mean_normalized_centroid_rmse,min_normalized_centroid_rmse,max_normalized_centroid_rmse,resamples_passing,n_resamples,train_feasible_candidates
VICReg / CelebA,Mouth_Slightly_Open | Wavy_Hair | Black_Hair,829,0.2144 | 0.1734 | 0.1678,0.1678,0.1702,0.2130,valid_current_geometry,0.2259,0.1895,0.2555,3,20,100
I-JEPA / CelebA,Black_Hair | High_Cheekbones | Arched_Eyebrows,588,0.3121 | 0.1146 | 0.1299,0.1146,0.1544,0.2870,valid_current_geometry,0.2758,0.2502,0.3104,0,20,48
VICReg / CUB-200,breast_color=white | primary_color=black | breast_pattern=solid,350,0.6600 | 0.4938 | 0.4148,0.4148,0.1255,0.3343,valid_current_geometry,0.3297,0.3131,0.3497,20,20,121
