test_balance_seed,samples_per_cell,total_balanced_samples,triple_max_abs_cos,capture_B_Smiling,capture_B_Wavy_Hair,capture_B_Black_Hair,min_capture_B,centroid_rmse,normalized_centroid_rmse,max_centroid_error,min_cell_count,headline_criteria_passed
7,500,4000,0.21490153670310974,0.3275913894176483,0.20612722635269165,0.15277040004730225,0.15277040004730225,0.1702574757675879,0.2027298211486383,0.21450329494139908,500,False
8,500,4000,0.04993534833192825,0.3307439684867859,0.16230039298534393,0.20424246788024902,0.16230039298534393,0.16968768046733412,0.20205135167884852,0.20935571555650032,500,True
9,500,4000,0.2034030258655548,0.3385160267353058,0.12892206013202667,0.1468854546546936,0.12892206013202667,0.16912332619583553,0.20137936097764983,0.22975069150158126,500,False
10,500,4000,0.10916230082511902,0.3123936951160431,0.18850043416023254,0.1600927710533142,0.1600927710533142,0.19233839074772513,0.22902211712295523,0.2342154723302056,500,True
11,500,4000,0.13312524557113647,0.3152056336402893,0.16138330101966858,0.16983084380626678,0.16138330101966858,0.18208133844725916,0.2168087892264215,0.24167995383964705,500,True
12,500,4000,0.25588130950927734,0.30727964639663696,0.15017639100551605,0.11303704231977463,0.11303704231977463,0.17859518451339929,0.21265773882277997,0.23744490454419098,500,False
13,500,4000,0.14854209125041962,0.356299489736557,0.10785835981369019,0.13975074887275696,0.10785835981369019,0.19613153868372854,0.2335387129387302,0.2484579706564899,500,True
14,500,4000,0.031562142074108124,0.34299805760383606,0.15437684953212738,0.16075369715690613,0.15437684953212738,0.15464025205489643,0.18413400351514944,0.24098596107665649,500,True
15,500,4000,0.254310667514801,0.34689760208129883,0.17568339407444,0.13820785284042358,0.13820785284042358,0.1849143340579655,0.2201821077305521,0.23144550725185914,500,False
16,500,4000,0.05039680376648903,0.33491426706314087,0.12695670127868652,0.18556886911392212,0.12695670127868652,0.17617203317867414,0.20977243211603955,0.23705299940901217,500,True
17,500,4000,0.09681911766529083,0.29469427466392517,0.178587406873703,0.16542348265647888,0.16542348265647888,0.19125305814853613,0.22772978453827197,0.2492630393433723,500,True
18,500,4000,0.1396220475435257,0.3061283826828003,0.1714925765991211,0.13654887676239014,0.13654887676239014,0.19121668418496068,0.22768647315298993,0.21728556810960556,500,True
19,500,4000,0.3068280816078186,0.30954471230506897,0.12723694741725922,0.11270885914564133,0.11270885914564133,0.19185691357061418,0.22844881024428343,0.24182164826960906,500,False
20,500,4000,0.09461002051830292,0.33896538615226746,0.2036488950252533,0.1738491654396057,0.1738491654396057,0.1762997765564785,0.20992453934080865,0.23483175598493727,500,True
21,500,4000,0.14733511209487915,0.35629796981811523,0.1512632668018341,0.14535431563854218,0.14535431563854218,0.16686925211087733,0.19869537876753446,0.2509710800070652,500,True
22,500,4000,0.18639464676380157,0.36137908697128296,0.21566961705684662,0.1772659420967102,0.1772659420967102,0.17894006850652025,0.21306840079181963,0.22134150813489992,500,False
23,500,4000,0.23967474699020386,0.34855568408966064,0.14537931978702545,0.123943991959095,0.123943991959095,0.1975429248049112,0.23521928558101238,0.28648866814365026,500,False
24,500,4000,0.24226783215999603,0.37457752227783203,0.14548763632774353,0.1306309849023819,0.1306309849023819,0.18895718736608452,0.22499603395840223,0.24612601183972424,500,False
25,500,4000,0.3851329982280731,0.2768489122390747,0.13478782773017883,0.11288860440254211,0.11288860440254211,0.20381697547040017,0.24268995412909042,0.2732329699144482,500,False
26,500,4000,0.06126079708337784,0.3453267514705658,0.1823471188545227,0.14024575054645538,0.14024575054645538,0.20856093323444366,0.2483387029121046,0.25743439445864635,500,True
