test_balance_seed,samples_per_cell,total_balanced_samples,triple_max_abs_cos,capture_B_breast_color=white,capture_B_primary_color=black,capture_B_breast_pattern=solid,min_capture_B,centroid_rmse,normalized_centroid_rmse,max_centroid_error,min_cell_count,headline_criteria_passed
7,100,800,0.24394986033439636,0.8419860005378723,0.4320482313632965,0.22559340298175812,0.22559340298175812,0.698788439171925,0.5327538383784498,0.9798795216729566,100,False
8,100,800,0.6433491110801697,0.6205345988273621,0.5153143405914307,0.24058422446250916,0.24058422446250916,0.6501349397320312,0.4956605822165946,0.759615722791337,100,False
9,100,800,0.3536372780799866,0.6085041165351868,0.31826990842819214,0.2515459954738617,0.2515459954738617,0.7175956925918884,0.5470924219713826,0.96501090453615,100,False
10,100,800,0.19432073831558228,0.5364951491355896,0.37689587473869324,0.5778765082359314,0.37689587473869324,0.6442815659506727,0.49119799071582804,0.8786558900240429,100,False
11,100,800,0.25054675340652466,0.57546067237854,0.21129204332828522,0.31684431433677673,0.21129204332828522,0.6543708761787927,0.4988900452051547,0.7887428397005491,100,False
12,100,800,0.1756407916545868,0.6743083000183105,0.5804431438446045,0.5484902858734131,0.5484902858734131,0.6433572574102301,0.4904933011486247,0.8244717401615482,100,False
13,100,800,0.37726476788520813,0.7226823568344116,0.3769512474536896,0.5243938565254211,0.3769512474536896,0.6121048166806887,0.4666665506988198,0.8159496175965681,100,False
14,100,800,0.2331569492816925,0.8131621479988098,0.4937030076980591,0.2637532651424408,0.2637532651424408,0.6835332727997332,0.5211233534071787,0.8821021081849472,100,False
15,100,800,0.26418402791023254,0.46055325865745544,0.3088989853858948,0.4428166151046753,0.3088989853858948,0.6402175931562991,0.48809963220858976,0.7647757210786889,100,False
16,100,800,0.24516402184963226,0.8193511962890625,0.5999575853347778,0.3986397981643677,0.3986397981643677,0.6346384956582335,0.4838461479776482,0.9015531146823187,100,False
17,100,800,0.47540056705474854,0.46316835284233093,0.6751355528831482,0.20196786522865295,0.20196786522865295,0.6364483399373477,0.48522596686490393,0.8556171123150863,100,False
18,100,800,0.45440617203712463,0.4362569749355316,0.41207608580589294,0.24475140869617462,0.24475140869617462,0.6788930919967775,0.5175856959489727,0.7927949574701743,100,False
19,100,800,0.2559298276901245,0.791445255279541,0.7207247614860535,0.3473665118217468,0.3473665118217468,0.6827990980039563,0.5205636211354853,0.8335659559948737,100,False
20,100,800,0.21432170271873474,0.691695511341095,0.6802414059638977,0.5210269689559937,0.5210269689559937,0.5739374346001754,0.4375678733819108,0.775609456624028,100,False
21,100,800,0.2598297595977783,0.4830572009086609,0.47433868050575256,0.27604976296424866,0.27604976296424866,0.6802216491888493,0.5185985832606466,0.8676183811318257,100,False
22,100,800,0.44820496439933777,0.6097319722175598,0.5849082469940186,0.22149886190891266,0.22149886190891266,0.6839270339331296,0.5214235555047833,0.8436947105694841,100,False
23,100,800,0.43541455268859863,0.5654348134994507,0.5572462677955627,0.20271724462509155,0.20271724462509155,0.6824466990608962,0.52029495342573,0.785055441135165,100,False
24,100,800,0.33152565360069275,0.640250563621521,0.5692122578620911,0.6560229659080505,0.5692122578620911,0.6754140156768587,0.5149332604484016,0.7988344494732917,100,False
25,100,800,0.22777946293354034,0.48396390676498413,0.5626022815704346,0.6588431000709534,0.48396390676498413,0.6843993168094136,0.5217836223018797,0.9310964746133826,100,False
26,100,800,0.603242814540863,0.6356417536735535,0.43007081747055054,0.335146427154541,0.335146427154541,0.6483956910326453,0.49433458515002804,0.8208455875630556,100,False
